"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Nearest Town","Public Latitude","Public Longitude","Collection Methodology","Point Count Station","Subpoint","Elevation (metres)","Slope (degrees)","Aspect (degrees)"
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,1,P,       603,2,140,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,1,S,       603,2,140,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,2,P,       603,6,60,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,2,S,       603,6,60,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,3,P,       603,18,280,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,3,S,       603,18,280,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,4,P,       603,16,30,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,4,S,       603,16,30,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,5,P,       603,22,100,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,5,S,       603,22,100,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,6,P,       603,20,230,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,6,S,       603,20,230,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,7,P,       603,12,150,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,7,S,       603,12,150,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,8,P,       603,16,40,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,8,S,       603,16,40,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,9,P,       603,8,300,
Rotation 2,989,2015,26-May-15,TDI,DNC,53.857868,-111.749352,1,9,S,       603,8,300,
Rotation 2,989,2015,06-Jul-15,CZA,DNC,53.857868,-111.749352,2,1,P,       603,DNC,DNC,
Rotation 2,989,2015,06-Jul-15,CZA,DNC,53.857868,-111.749352,2,1,S,       603,DNC,DNC,
Rotation 2,989,2015,06-Jul-15,CZA,DNC,53.857868,-111.749352,2,3,P,       603,3,115,
Rotation 2,989,2015,06-Jul-15,CZA,DNC,53.857868,-111.749352,2,3,S,       603,3,115,
Rotation 2,989,2015,06-Jul-15,CZA,DNC,53.857868,-111.749352,2,5,P,       603,2,60,
Rotation 2,989,2015,06-Jul-15,CZA,DNC,53.857868,-111.749352,2,5,S,       603,2,60,
Rotation 2,989,2015,06-Jul-15,CZA,DNC,53.857868,-111.749352,2,7,P,       603,0,VNA,
Rotation 2,989,2015,06-Jul-15,CZA,DNC,53.857868,-111.749352,2,7,S,       603,0,VNA,
Rotation 2,989,2015,06-Jul-15,CZA,DNC,53.857868,-111.749352,2,9,P,       603,10,78,
Rotation 2,989,2015,06-Jul-15,CZA,DNC,53.857868,-111.749352,2,9,S,       603,10,78,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,1,P,       639,5,279,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,1,S,       639,5,279,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,2,P,       639,7,197,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,2,S,       639,7,197,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,3,P,       639,3,165,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,3,S,       639,3,165,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,4,P,       639,0,VNA,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,4,S,       639,0,VNA,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,5,P,       639,3,270,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,5,S,       639,3,270,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,6,P,       639,2,298,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,6,S,       639,2,298,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,7,P,       639,7,91,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,7,S,       639,7,91,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,8,P,       639,2,270,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,8,S,       639,2,270,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,9,P,       639,0,VNA,
Rotation 2,990,2015,27-May-15,RHO2,DNC,53.872204,-111.464218,1,9,S,       639,0,VNA,
Rotation 2,990,2015,07-Jul-15,CZA,DNC,53.872204,-111.464218,2,1,P,       639,DNC,DNC,
Rotation 2,990,2015,07-Jul-15,CZA,DNC,53.872204,-111.464218,2,1,S,       639,DNC,DNC,
Rotation 2,990,2015,07-Jul-15,CZA,DNC,53.872204,-111.464218,2,3,P,       639,0,VNA,
Rotation 2,990,2015,07-Jul-15,CZA,DNC,53.872204,-111.464218,2,3,S,       639,0,VNA,
Rotation 2,990,2015,07-Jul-15,CZA,DNC,53.872204,-111.464218,2,5,P,       639,4,180,
Rotation 2,990,2015,07-Jul-15,CZA,DNC,53.872204,-111.464218,2,5,S,       639,4,180,
Rotation 2,990,2015,07-Jul-15,CZA,DNC,53.872204,-111.464218,2,7,P,       639,0,VNA,
Rotation 2,990,2015,07-Jul-15,CZA,DNC,53.872204,-111.464218,2,7,S,       639,0,VNA,
Rotation 2,990,2015,07-Jul-15,CZA,DNC,53.872204,-111.464218,2,9,P,       639,0,VNA,
Rotation 2,990,2015,07-Jul-15,CZA,DNC,53.872204,-111.464218,2,9,S,       639,0,VNA,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,1,P,       621,0,VNA,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,1,S,       621,0,VNA,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,2,P,       621,0,VNA,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,2,S,       621,0,VNA,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,3,P,       621,25,195,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,3,S,       621,25,195,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,4,P,       621,10,3,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,4,S,       621,10,3,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,5,P,       621,8,188,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,5,S,       621,8,188,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,6,P,       621,0,VNA,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,6,S,       621,0,VNA,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,7,P,       621,0,VNA,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,7,S,       621,0,VNA,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,8,P,       621,2,352,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,8,S,       621,2,352,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,9,P,       621,20,86,
Rotation 2,991,2015,30-May-15,CZA,DNC,53.823879,-111.167091,1,9,S,       621,20,86,
Rotation 2,991,2015,09-Jul-15,CZA,DNC,53.823879,-111.167091,2,1,P,       621,DNC,DNC,
Rotation 2,991,2015,09-Jul-15,CZA,DNC,53.823879,-111.167091,2,1,S,       621,DNC,DNC,
Rotation 2,991,2015,09-Jul-15,CZA,DNC,53.823879,-111.167091,2,3,P,       621,0,VNA,
Rotation 2,991,2015,09-Jul-15,CZA,DNC,53.823879,-111.167091,2,3,S,       621,0,VNA,
