"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Quadrant","Survey","Survey Area","Time Searched","Microhabitat Type","Specimen Collected"
Rotation 2,1022,2015,29-May-15,TDI,NE,1,25X15,5,LH,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,1,25X15,5,LS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,1,25X15,5,WSB,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,1,25X15,5,WMF,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,1,25X15,5,WPW,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,1,25X15,5,WDS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,1,25X15,5,RR,None,
Rotation 2,1022,2015,29-May-15,TDI,NE,1,25X15,5,BC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,1,25X15,5,CL,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,1,25X15,5,LH,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,1,25X15,5,LS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,1,25X15,5,WSB,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,1,25X15,5,WMF,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,1,25X15,5,WPW,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,1,25X15,5,WDS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,1,25X15,5,CL,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,1,25X15,5,BC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,1,25X15,5,RR,None,
Rotation 2,1022,2015,29-May-15,TDI,SE,1,25X15,5,LS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,1,25X15,5,LH,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,1,25X15,5,WMF,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,1,25X15,5,WSB,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,1,25X15,5,WDS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,1,25X15,5,WPW,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,1,25X15,5,RR,None,
Rotation 2,1022,2015,29-May-15,TDI,SE,1,25X15,5,BC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,1,25X15,5,CL,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,1,25X15,5,LS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,1,25X15,5,LH,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,1,25X15,5,WMF,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,1,25X15,5,WSB,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,1,25X15,5,WDS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,1,25X15,5,WPW,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,1,25X15,5,RR,None,
Rotation 2,1022,2015,29-May-15,TDI,SW,1,25X15,5,BC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,1,25X15,5,CL,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,2,2X25,10,TD,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,2,2X25,10,TS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,2,2X25,10,HB,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,2,2X25,10,TC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,2,2X25,10,UC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,2,2X25,10,DC,None,
Rotation 2,1022,2015,29-May-15,TDI,NE,2,2X25,10,DM,None,
Rotation 2,1022,2015,29-May-15,TDI,NE,2,2X25,10,UO,None,
Rotation 2,1022,2015,29-May-15,TDI,NW,2,2X25,10,TD,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,2,2X25,10,HB,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,2,2X25,10,TS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,2,2X25,10,TC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,2,2X25,10,DC,None,
Rotation 2,1022,2015,29-May-15,TDI,NW,2,2X25,10,UC,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,2,2X25,10,DM,None,
Rotation 2,1022,2015,29-May-15,TDI,NW,2,2X25,10,UO,None,
Rotation 2,1022,2015,29-May-15,TDI,SE,2,2X25,10,TS,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,2,2X25,10,HB,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,2,2X25,10,TC,VNA,
