"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Identification Date","Identification Analyst","Advanced ID Date","Advanced ID Analyst","Microhabitat Type","Plot Number","Common Name","Scientific Name","Taxonomic Resolution","Unique Taxonomic Identification Number"
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LH,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,LH,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1118,2007,10-Jul-07,MPA,15-Aug-07,CCO,VNA,VNA,LH,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1118,2007,18-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,LH,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1118,2007,10-Jul-07,MPA,15-Aug-07,CCO,VNA,VNA,LH,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1118,2007,18-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,LH,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1118,2007,10-Jul-07,MPA,15-Aug-07,CCO,VNA,VNA,LH,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LS,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LS,1,VNA,Haplocladium microphyllum,Species,99001215,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LS,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LS,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LS,1,VNA,Haplocladium microphyllum,Species,99001215,
Rotation 1,1118,2007,10-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LS,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1118,2007,18-Jun-07,MPA,VNA,VNA,JD,1-Aug-08,LS,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1118,2007,18-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,RR,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1118,2007,18-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,RR,1,VNA,Platygyrium repens,Species,99000841,
