"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Quadrant","Stratum","Identification Date","Identification Analyst","Common Name","Scientific Name","Taxonomic Resolution","Unique Taxonomic Identification Number","Identification Qualifier ","Qualifier Taxonomic Rank "
Rotation 2,1022,2015,29-May-15,TDI,NE,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,Rock,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,Tree/Other,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,Upland,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NE,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,Rock,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,Tree/Other,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,Upland,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,NW,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,Rock,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,Tree/Other,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,Upland,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SE,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,Rock,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,Tree/Other,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,Upland,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1022,2015,29-May-15,TDI,SW,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Rock,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Tree/Other,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Upland,07-Aug-15,KRE,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Upland,07-Aug-15,KRE,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Upland,10-Aug-15,THI,VNA,Amblystegiaceae,Family,99000480,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Upland,10-Aug-15,KWI2,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Upland,10-Aug-15,THI,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Upland,07-Aug-15,KRE,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Upland,10-Aug-15,KWI2,VNA,Amblystegiaceae,Family,99000480,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NE,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,Rock,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,Tree/Other,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,Upland,10-Aug-15,THI,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,Upland,10-Aug-15,THI,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,Upland,10-Aug-15,THI,VNA,Abietinella abietina,Species,99001263,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,Upland,07-Aug-15,KRE,VNA,Abietinella abietina,Species,99001263,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,Upland,07-Aug-15,KRE,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,Upland,07-Aug-15,KRE,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,NW,Upland,10-Aug-15,THI,VNA,Brachythecium,Genus,99000537,s.l.,Genus,
Rotation 2,1023,2015,30-May-15,TDI,NW,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Rock,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Tree/Other,VNA,VNA,NONE,NONE,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Upland,07-Aug-15,THI,Horned-leaved Earth Moss,Tortula acaulon,Species,99000948,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Upland,10-Aug-15,THI,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Upland,10-Aug-15,THI,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Upland,07-Aug-15,RCA2,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Upland,10-Aug-15,THI,VNA,Brachythecium,Genus,99000537,s.l.,Genus,
Rotation 2,1023,2015,30-May-15,TDI,SE,Upland,07-Aug-15,KRE,VNA,Abietinella abietina,Species,99001263,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Upland,07-Aug-15,KRE,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Upland,07-Aug-15,KRE,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Upland,07-Aug-15,THI,Bird's Claw Beard Moss,Barbula unguiculata,Species,99001308,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Upland,07-Aug-15,KRE,VNA,Abietinella abietina,Species,99001263,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SE,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Log/Stump,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Rock,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Tree/Other,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 2,1023,2015,30-May-15,TDI,SW,Upland,10-Aug-15,THI,Mosses,Bryophyta,Division,14189,VNA,VNA,
