Year,wheat_yield_bu_acre,n_sites_sampled,species_richness,total_identifications,mean_search_minutes,richness_per_site,ids_per_site,richness_per_100min,mean_summer_temp_C,total_growing_precip_mm,frost_free_days,spring_temp_anomaly_C
2008,46.9,18,85,836,82.40430622009569,4.7222,46.4444,5.7305,15.027,297.2,138.0,-1.185
2010,46.9,10,64,698,98.8323782234957,6.4,69.8,6.4756,14.391,424.4,136.0,-0.714
2011,49.1,45,61,629,99.93322734499203,1.3556,13.9778,1.3565,14.851,353.0,143.0,-1.254
2012,47.4,16,29,109,77.1559633027523,1.8125,6.8125,2.3491,16.327,354.7,148.0,0.227
2013,58.1,38,72,691,96.64833574529668,1.8947,18.1842,1.9604,15.551,261.2,142.0,-0.206
2014,51.1,37,101,2419,131.87432823480776,2.7297,65.3784,2.0699,15.492,371.4,139.0,2.017
2015,45.4,30,50,518,98.17374517374516,1.6667,17.2667,1.6977,15.573,289.4,134.0,0.255
2016,58.1,23,37,343,100.39067055393586,1.6087,14.913,1.6024,14.3,349.6,138.667,1.815
2017,52.6,46,94,2803,121.30895469140206,2.0435,60.9348,1.6845,15.09,204.2,138.667,0.0
2018,49.7,22,139,2863,134.77471184072652,6.3182,130.1364,4.688,15.223,322.789,137.0,-0.523
2019,52.3,10,99,1441,139.1880638445524,9.9,144.1,7.1127,14.169,322.789,131.0,-0.43
