Year,wheat_yield_bu_acre,n_sites_sampled,species_richness,total_identifications,richness_per_site,ids_per_site,mean_summer_temp_C,total_growing_precip_mm,frost_free_days,spring_temp_anomaly_C
2010,46.9,10,64,698,6.4,69.8,14.391,424.4,136.0,-0.846
2011,49.1,45,61,629,1.3556,13.9778,14.851,353.0,143.0,-1.386
2012,47.4,16,29,109,1.8125,6.8125,16.327,354.7,148.0,0.095
2013,58.1,39,73,723,1.8718,18.5385,15.551,261.2,142.0,-0.338
2014,51.1,37,101,2419,2.7297,65.3784,15.492,371.4,139.0,1.885
2015,45.4,30,50,518,1.6667,17.2667,15.573,289.4,134.0,0.123
2016,58.1,23,37,343,1.6087,14.913,14.3,349.6,138.75,1.683
2017,52.6,46,94,2803,2.0435,60.9348,15.097,204.2,138.75,-0.0
2018,49.7,22,139,2863,6.3182,130.1364,15.223,325.987,137.0,-0.655
2019,52.3,10,99,1441,9.9,144.1,14.169,325.987,131.0,-0.562
