Year,wheat_yield_bu_acre,richness_per_100min,mean_summer_temp_C,total_growing_precip_mm,frost_free_days,spring_temp_anomaly_C
2008,46.9,5.7305,15.027,297.2,138.0,-1.185
2010,46.9,6.4756,14.391,424.4,136.0,-0.714
2011,49.1,1.3565,14.851,353.0,143.0,-1.254
2012,47.4,2.3491,16.327,354.7,148.0,0.227
2013,58.1,1.9604,15.551,261.2,142.0,-0.206
2014,51.1,2.0699,15.492,371.4,139.0,2.017
2015,45.4,1.6977,15.573,289.4,134.0,0.255
2016,58.1,1.6024,14.3,349.6,138.667,1.815
2017,52.6,1.6845,15.09,204.2,138.667,0.0
2018,49.7,4.688,15.223,322.789,137.0,-0.523
2019,52.3,7.1127,14.169,322.789,131.0,-0.43
